,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
231,aal_spm12,svc_l1,ADNI,8,tangent,NA,0.825,117
232,aal_spm12,svc_l2,ADNI,8,tangent,NA,0.7,117
233,aal_spm12,ridge,ADNI,8,tangent,NA,0.6375,117
234,basc_scale122,svc_l1,ADNI,8,correlation,NA,0.70416667,122
235,basc_scale122,svc_l2,ADNI,8,correlation,NA,0.77083333,122
236,basc_scale122,ridge,ADNI,8,correlation,NA,0.76666667,122
237,basc_scale122,svc_l1,ADNI,8,partial correlation,NA,0.61666667,122
238,basc_scale122,svc_l2,ADNI,8,partial correlation,NA,0.57916667,122
239,basc_scale122,ridge,ADNI,8,partial correlation,NA,0.57916667,122
240,basc_scale122,svc_l1,ADNI,8,tangent,NA,0.6375,122
241,basc_scale122,svc_l2,ADNI,8,tangent,NA,0.775,122
242,basc_scale122,ridge,ADNI,8,tangent,NA,0.77083333,122
243,ho_cort_symm_split,svc_l1,ADNI,9,correlation,NA,0.59166667,96
244,ho_cort_symm_split,svc_l2,ADNI,9,correlation,NA,0.64583333,96
245,ho_cort_symm_split,ridge,ADNI,9,correlation,NA,0.65833333,96
246,ho_cort_symm_split,svc_l1,ADNI,9,partial correlation,NA,0.6125,96
247,ho_cort_symm_split,svc_l2,ADNI,9,partial correlation,NA,0.475,96
248,ho_cort_symm_split,ridge,ADNI,9,partial correlation,NA,0.475,96
249,ho_cort_symm_split,svc_l1,ADNI,9,tangent,NA,0.67916667,96
250,ho_cort_symm_split,svc_l2,ADNI,9,tangent,NA,0.59583333,96
251,ho_cort_symm_split,ridge,ADNI,9,tangent,NA,0.59583333,96
252,aal_spm12,svc_l1,ADNI,9,correlation,NA,0.71666667,117
253,aal_spm12,svc_l2,ADNI,9,correlation,NA,0.61666667,117
254,aal_spm12,ridge,ADNI,9,correlation,NA,0.60833333,117
255,aal_spm12,svc_l1,ADNI,9,partial correlation,NA,0.62083333,117
256,aal_spm12,svc_l2,ADNI,9,partial correlation,NA,0.57083333,117
257,aal_spm12,ridge,ADNI,9,partial correlation,NA,0.56666667,117
258,aal_spm12,svc_l1,ADNI,9,tangent,NA,0.6,117
259,aal_spm12,svc_l2,ADNI,9,tangent,NA,0.68333333,117
260,aal_spm12,ridge,ADNI,9,tangent,NA,0.63333333,117
261,basc_scale122,svc_l1,ADNI,9,correlation,NA,0.64583333,122
262,basc_scale122,svc_l2,ADNI,9,correlation,NA,0.7,122
263,basc_scale122,ridge,ADNI,9,correlation,NA,0.68333333,122
264,basc_scale122,svc_l1,ADNI,9,partial correlation,NA,0.55416667,122
265,basc_scale122,svc_l2,ADNI,9,partial correlation,NA,0.55416667,122
266,basc_scale122,ridge,ADNI,9,partial correlation,NA,0.55833333,122
267,basc_scale122,svc_l1,ADNI,9,tangent,NA,0.725,122
268,basc_scale122,svc_l2,ADNI,9,tangent,NA,0.72083333,122
269,basc_scale122,ridge,ADNI,9,tangent,NA,0.72916667,122
270,ho_cort_symm_split,svc_l1,ADNI,10,correlation,NA,0.4625,96
271,ho_cort_symm_split,svc_l2,ADNI,10,correlation,NA,0.58333333,96
272,ho_cort_symm_split,ridge,ADNI,10,correlation,NA,0.57916667,96
273,ho_cort_symm_split,svc_l1,ADNI,10,partial correlation,NA,0.34583333,96
274,ho_cort_symm_split,svc_l2,ADNI,10,partial correlation,NA,0.50833333,96
275,ho_cort_symm_split,ridge,ADNI,10,partial correlation,NA,0.50833333,96
276,ho_cort_symm_split,svc_l1,ADNI,10,tangent,NA,0.49583333,96
277,ho_cort_symm_split,svc_l2,ADNI,10,tangent,NA,0.54166667,96
278,ho_cort_symm_split,ridge,ADNI,10,tangent,NA,0.55416667,96
279,aal_spm12,svc_l1,ADNI,10,correlation,NA,0.50416667,117
280,aal_spm12,svc_l2,ADNI,10,correlation,NA,0.5,117
281,aal_spm12,ridge,ADNI,10,correlation,NA,0.49166667,117
282,aal_spm12,svc_l1,ADNI,10,partial correlation,NA,0.625,117
283,aal_spm12,svc_l2,ADNI,10,partial correlation,NA,0.525,117
284,aal_spm12,ridge,ADNI,10,partial correlation,NA,0.52083333,117
285,aal_spm12,svc_l1,ADNI,10,tangent,NA,0.60833333,117
