,Unnamed: 0,atlas,classifier,compcor_10,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,min_region_size_in_mm3,motion_regress,n_regions,region_extraction,scores,scoring,smoothing_fwhm
154,154,dictlearn,svc_l2,yes,no,COBRE,40,17,correlation,1500,yes,111,yes,[ 0.846875],roc_auc,6.0
155,155,dictlearn,ridge,yes,no,COBRE,40,17,correlation,1500,yes,111,yes,[ 0.834375],roc_auc,6.0
156,156,dictlearn,svc_l1,yes,no,COBRE,40,17,partial correlation,1500,yes,111,yes,[ 0.88125],roc_auc,6.0
157,157,dictlearn,svc_l2,yes,no,COBRE,40,17,partial correlation,1500,yes,111,yes,[ 0.925],roc_auc,6.0
158,158,dictlearn,ridge,yes,no,COBRE,40,17,partial correlation,1500,yes,111,yes,[ 0.925],roc_auc,6.0
159,159,dictlearn,svc_l1,yes,no,COBRE,40,17,tangent,1500,yes,111,yes,[ 0.70625],roc_auc,6.0
160,160,dictlearn,svc_l2,yes,no,COBRE,40,17,tangent,1500,yes,111,yes,[ 0.89375],roc_auc,6.0
161,161,dictlearn,ridge,yes,no,COBRE,40,17,tangent,1500,yes,111,yes,[ 0.89375],roc_auc,6.0
162,162,dictlearn,svc_l1,yes,no,COBRE,40,18,correlation,1500,yes,111,yes,[ 0.759375],roc_auc,6.0
163,163,dictlearn,svc_l2,yes,no,COBRE,40,18,correlation,1500,yes,111,yes,[ 0.76875],roc_auc,6.0
164,164,dictlearn,ridge,yes,no,COBRE,40,18,correlation,1500,yes,111,yes,[ 0.7625],roc_auc,6.0
165,165,dictlearn,svc_l1,yes,no,COBRE,40,18,partial correlation,1500,yes,111,yes,[ 0.834375],roc_auc,6.0
166,166,dictlearn,svc_l2,yes,no,COBRE,40,18,partial correlation,1500,yes,111,yes,[ 0.825],roc_auc,6.0
167,167,dictlearn,ridge,yes,no,COBRE,40,18,partial correlation,1500,yes,111,yes,[ 0.81875],roc_auc,6.0
168,168,dictlearn,svc_l1,yes,no,COBRE,40,18,tangent,1500,yes,111,yes,[ 0.8625],roc_auc,6.0
169,169,dictlearn,svc_l2,yes,no,COBRE,40,18,tangent,1500,yes,111,yes,[ 0.80625],roc_auc,6.0
170,170,dictlearn,ridge,yes,no,COBRE,40,18,tangent,1500,yes,111,yes,[ 0.809375],roc_auc,6.0
171,171,dictlearn,svc_l1,yes,no,COBRE,40,19,correlation,1500,yes,109,yes,[ 0.840625],roc_auc,6.0
172,172,dictlearn,svc_l2,yes,no,COBRE,40,19,correlation,1500,yes,109,yes,[ 0.834375],roc_auc,6.0
173,173,dictlearn,ridge,yes,no,COBRE,40,19,correlation,1500,yes,109,yes,[ 0.8375],roc_auc,6.0
174,174,dictlearn,svc_l1,yes,no,COBRE,40,19,partial correlation,1500,yes,109,yes,[ 0.671875],roc_auc,6.0
175,175,dictlearn,svc_l2,yes,no,COBRE,40,19,partial correlation,1500,yes,109,yes,[ 0.834375],roc_auc,6.0
176,176,dictlearn,ridge,yes,no,COBRE,40,19,partial correlation,1500,yes,109,yes,[ 0.834375],roc_auc,6.0
177,177,dictlearn,svc_l1,yes,no,COBRE,40,19,tangent,1500,yes,109,yes,[ 0.659375],roc_auc,6.0
178,178,dictlearn,svc_l2,yes,no,COBRE,40,19,tangent,1500,yes,109,yes,[ 0.8875],roc_auc,6.0
179,179,dictlearn,ridge,yes,no,COBRE,40,19,tangent,1500,yes,109,yes,[ 0.884375],roc_auc,6.0
180,180,dictlearn,svc_l1,yes,no,COBRE,40,20,correlation,1500,yes,100,yes,[ 0.5625],roc_auc,6.0
181,181,dictlearn,svc_l2,yes,no,COBRE,40,20,correlation,1500,yes,100,yes,[ 0.771875],roc_auc,6.0
182,182,dictlearn,ridge,yes,no,COBRE,40,20,correlation,1500,yes,100,yes,[ 0.765625],roc_auc,6.0
