,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
202,aal_spm12,svc_l2,COBRE,7,partial correlation,NA,0.790625,117
203,aal_spm12,ridge,COBRE,7,partial correlation,NA,0.790625,117
204,aal_spm12,svc_l1,COBRE,7,tangent,NA,0.58125,117
205,aal_spm12,svc_l2,COBRE,7,tangent,NA,0.8,117
206,aal_spm12,ridge,COBRE,7,tangent,NA,0.803125,117
207,basc_scale122,svc_l1,COBRE,7,correlation,NA,0.7625,122
208,basc_scale122,svc_l2,COBRE,7,correlation,NA,0.684375,122
209,basc_scale122,ridge,COBRE,7,correlation,NA,0.675,122
210,basc_scale122,svc_l1,COBRE,7,partial correlation,NA,0.690625,122
211,basc_scale122,svc_l2,COBRE,7,partial correlation,NA,0.7875,122
212,basc_scale122,ridge,COBRE,7,partial correlation,NA,0.7875,122
213,basc_scale122,svc_l1,COBRE,7,tangent,NA,0.675,122
214,basc_scale122,svc_l2,COBRE,7,tangent,NA,0.81875,122
215,basc_scale122,ridge,COBRE,7,tangent,NA,0.81875,122
216,ho_cort_symm_split,svc_l1,COBRE,8,correlation,NA,0.678125,96
217,ho_cort_symm_split,svc_l2,COBRE,8,correlation,NA,0.709375,96
218,ho_cort_symm_split,ridge,COBRE,8,correlation,NA,0.715625,96
219,ho_cort_symm_split,svc_l1,COBRE,8,partial correlation,NA,0.58125,96
220,ho_cort_symm_split,svc_l2,COBRE,8,partial correlation,NA,0.740625,96
221,ho_cort_symm_split,ridge,COBRE,8,partial correlation,NA,0.740625,96
222,ho_cort_symm_split,svc_l1,COBRE,8,tangent,NA,0.50625,96
223,ho_cort_symm_split,svc_l2,COBRE,8,tangent,NA,0.69375,96
224,ho_cort_symm_split,ridge,COBRE,8,tangent,NA,0.69375,96
225,aal_spm12,svc_l1,COBRE,8,correlation,NA,0.6625,117
226,aal_spm12,svc_l2,COBRE,8,correlation,NA,0.80625,117
