,atlas,classifier,dataset,measure,scores
237,aal_spm12,svc_l1,acpi,partial correlation,0.4765625
238,aal_spm12,svc_l2,acpi,partial correlation,0.52734375
239,aal_spm12,ridge,acpi,partial correlation,0.52734375
240,aal_spm12,svc_l1,acpi,tangent,0.51171875
241,aal_spm12,svc_l2,acpi,tangent,0.5390625
242,aal_spm12,ridge,acpi,tangent,0.5390625
243,aal_spm12,svc_l1,acpi,correlation,0.51953125
244,aal_spm12,svc_l2,acpi,correlation,0.5078125
245,aal_spm12,ridge,acpi,correlation,0.50390625
246,aal_spm12,svc_l1,acpi,partial correlation,0.625
247,aal_spm12,svc_l2,acpi,partial correlation,0.57421875
248,aal_spm12,ridge,acpi,partial correlation,0.58984375
249,aal_spm12,svc_l1,acpi,tangent,0.53125
250,aal_spm12,svc_l2,acpi,tangent,0.609375
251,aal_spm12,ridge,acpi,tangent,0.61328125
252,aal_spm12,svc_l1,acpi,correlation,0.4375
253,aal_spm12,svc_l2,acpi,correlation,0.3984375
254,aal_spm12,ridge,acpi,correlation,0.41015625
255,aal_spm12,svc_l1,acpi,partial correlation,0.67578125
256,aal_spm12,svc_l2,acpi,partial correlation,0.60546875
257,aal_spm12,ridge,acpi,partial correlation,0.60546875
258,aal_spm12,svc_l1,acpi,tangent,0.62109375
259,aal_spm12,svc_l2,acpi,tangent,0.609375
260,aal_spm12,ridge,acpi,tangent,0.60546875
261,aal_spm12,svc_l1,acpi,correlation,0.515625
262,aal_spm12,svc_l2,acpi,correlation,0.40234375
263,aal_spm12,ridge,acpi,correlation,0.3984375
264,aal_spm12,svc_l1,acpi,partial correlation,0.53125
265,aal_spm12,svc_l2,acpi,partial correlation,0.59765625
266,aal_spm12,ridge,acpi,partial correlation,0.59765625
267,aal_spm12,svc_l1,acpi,tangent,0.39453125
268,aal_spm12,svc_l2,acpi,tangent,0.45703125
269,aal_spm12,ridge,acpi,tangent,0.453125
270,aal_spm12,svc_l1,acpi,correlation,0.4296875
271,aal_spm12,svc_l2,acpi,correlation,0.50390625
272,aal_spm12,ridge,acpi,correlation,0.515625
273,aal_spm12,svc_l1,acpi,partial correlation,0.546875
274,aal_spm12,svc_l2,acpi,partial correlation,0.51171875
275,aal_spm12,ridge,acpi,partial correlation,0.52734375
276,aal_spm12,svc_l1,acpi,tangent,0.51171875
277,aal_spm12,svc_l2,acpi,tangent,0.46875
278,aal_spm12,ridge,acpi,tangent,0.453125
279,aal_spm12,svc_l1,acpi,correlation,0.30078125
280,aal_spm12,svc_l2,acpi,correlation,0.40625
281,aal_spm12,ridge,acpi,correlation,0.3984375
282,aal_spm12,svc_l1,acpi,partial correlation,0.44921875
283,aal_spm12,svc_l2,acpi,partial correlation,0.58984375
284,aal_spm12,ridge,acpi,partial correlation,0.5859375
285,aal_spm12,svc_l1,acpi,tangent,0.3828125
286,aal_spm12,svc_l2,acpi,tangent,0.5390625
287,aal_spm12,ridge,acpi,tangent,0.53515625
288,aal_spm12,svc_l1,acpi,correlation,0.3984375
289,aal_spm12,svc_l2,acpi,correlation,0.54296875
290,aal_spm12,ridge,acpi,correlation,0.54296875
291,aal_spm12,svc_l1,acpi,partial correlation,0.65234375
292,aal_spm12,svc_l2,acpi,partial correlation,0.67578125
293,aal_spm12,ridge,acpi,partial correlation,0.703125
294,aal_spm12,svc_l1,acpi,tangent,0.54296875
295,aal_spm12,svc_l2,acpi,tangent,0.66796875
296,aal_spm12,ridge,acpi,tangent,0.66796875
297,aal_spm12,svc_l1,acpi,correlation,0.38671875
298,aal_spm12,svc_l2,acpi,correlation,0.609375
299,aal_spm12,ridge,acpi,correlation,0.6015625
300,aal_spm12,svc_l1,acpi,partial correlation,0.4765625
301,aal_spm12,svc_l2,acpi,partial correlation,0.58203125
302,aal_spm12,ridge,acpi,partial correlation,0.56640625
303,aal_spm12,svc_l1,acpi,tangent,0.4609375
304,aal_spm12,svc_l2,acpi,tangent,0.60546875
305,aal_spm12,ridge,acpi,tangent,0.59765625
306,aal_spm12,svc_l1,acpi,correlation,0.35546875
307,aal_spm12,svc_l2,acpi,correlation,0.3125
308,aal_spm12,ridge,acpi,correlation,0.3125
309,aal_spm12,svc_l1,acpi,partial correlation,0.41796875
310,aal_spm12,svc_l2,acpi,partial correlation,0.48046875
311,aal_spm12,ridge,acpi,partial correlation,0.44921875
312,aal_spm12,svc_l1,acpi,tangent,0.41796875
313,aal_spm12,svc_l2,acpi,tangent,0.41015625
314,aal_spm12,ridge,acpi,tangent,0.37890625
315,aal_spm12,svc_l1,acpi,correlation,0.27734375
316,aal_spm12,svc_l2,acpi,correlation,0.421875
317,aal_spm12,ridge,acpi,correlation,0.421875
318,aal_spm12,svc_l1,acpi,partial correlation,0.48828125
319,aal_spm12,svc_l2,acpi,partial correlation,0.375
320,aal_spm12,ridge,acpi,partial correlation,0.37109375
321,aal_spm12,svc_l1,acpi,tangent,0.3125
322,aal_spm12,svc_l2,acpi,tangent,0.35546875
323,aal_spm12,ridge,acpi,tangent,0.359375
324,aal_spm12,svc_l1,acpi,correlation,0.51171875
325,aal_spm12,svc_l2,acpi,correlation,0.56640625
326,aal_spm12,ridge,acpi,correlation,0.5703125
327,aal_spm12,svc_l1,acpi,partial correlation,0.64453125
328,aal_spm12,svc_l2,acpi,partial correlation,0.6171875
329,aal_spm12,ridge,acpi,partial correlation,0.6171875
330,aal_spm12,svc_l1,acpi,tangent,0.59765625
331,aal_spm12,svc_l2,acpi,tangent,0.60546875
332,aal_spm12,ridge,acpi,tangent,0.60546875
333,aal_spm12,svc_l1,acpi,correlation,0.47265625
334,aal_spm12,svc_l2,acpi,correlation,0.421875
335,aal_spm12,ridge,acpi,correlation,0.421875
336,aal_spm12,svc_l1,acpi,partial correlation,0.5859375
337,aal_spm12,svc_l2,acpi,partial correlation,0.625
338,aal_spm12,ridge,acpi,partial correlation,0.625
339,aal_spm12,svc_l1,acpi,tangent,0.5078125
340,aal_spm12,svc_l2,acpi,tangent,0.65625
341,aal_spm12,ridge,acpi,tangent,0.65234375
342,aal_spm12,svc_l1,acpi,correlation,0.62109375
343,aal_spm12,svc_l2,acpi,correlation,0.61328125
344,aal_spm12,ridge,acpi,correlation,0.61328125
345,aal_spm12,svc_l1,acpi,partial correlation,0.6640625
346,aal_spm12,svc_l2,acpi,partial correlation,0.5390625
347,aal_spm12,ridge,acpi,partial correlation,0.55078125
348,aal_spm12,svc_l1,acpi,tangent,0.6328125
349,aal_spm12,svc_l2,acpi,tangent,0.6015625
350,aal_spm12,ridge,acpi,tangent,0.60546875
351,aal_spm12,svc_l1,acpi,correlation,0.33984375
352,aal_spm12,svc_l2,acpi,correlation,0.38671875
353,aal_spm12,ridge,acpi,correlation,0.3828125
354,aal_spm12,svc_l1,acpi,partial correlation,0.46484375
355,aal_spm12,svc_l2,acpi,partial correlation,0.546875
356,aal_spm12,ridge,acpi,partial correlation,0.546875
357,aal_spm12,svc_l1,acpi,tangent,0.53515625
358,aal_spm12,svc_l2,acpi,tangent,0.45703125
359,aal_spm12,ridge,acpi,tangent,0.46484375
360,aal_spm12,svc_l1,acpi,correlation,0.58203125
361,aal_spm12,svc_l2,acpi,correlation,0.55078125
362,aal_spm12,ridge,acpi,correlation,0.546875
363,aal_spm12,svc_l1,acpi,partial correlation,0.671875
364,aal_spm12,svc_l2,acpi,partial correlation,0.48828125
365,aal_spm12,ridge,acpi,partial correlation,0.484375
366,aal_spm12,svc_l1,acpi,tangent,0.5078125
367,aal_spm12,svc_l2,acpi,tangent,0.46484375
368,aal_spm12,ridge,acpi,tangent,0.46484375
369,aal_spm12,svc_l1,acpi,correlation,0.58203125
370,aal_spm12,svc_l2,acpi,correlation,0.5390625
371,aal_spm12,ridge,acpi,correlation,0.546875
372,aal_spm12,svc_l1,acpi,partial correlation,0.6328125
373,aal_spm12,svc_l2,acpi,partial correlation,0.5390625
374,aal_spm12,ridge,acpi,partial correlation,0.5390625
375,aal_spm12,svc_l1,acpi,tangent,0.5859375
376,aal_spm12,svc_l2,acpi,tangent,0.5546875
377,aal_spm12,ridge,acpi,tangent,0.5546875
378,aal_spm12,svc_l1,acpi,correlation,0.40234375
379,aal_spm12,svc_l2,acpi,correlation,0.40625
380,aal_spm12,ridge,acpi,correlation,0.40625
381,aal_spm12,svc_l1,acpi,partial correlation,0.44921875
382,aal_spm12,svc_l2,acpi,partial correlation,0.45703125
383,aal_spm12,ridge,acpi,partial correlation,0.46875
384,aal_spm12,svc_l1,acpi,tangent,0.515625
385,aal_spm12,svc_l2,acpi,tangent,0.44921875
386,aal_spm12,ridge,acpi,tangent,0.453125
387,aal_spm12,svc_l1,acpi,correlation,0.5078125
388,aal_spm12,svc_l2,acpi,correlation,0.57421875
389,aal_spm12,ridge,acpi,correlation,0.578125
390,aal_spm12,svc_l1,acpi,partial correlation,0.48828125
391,aal_spm12,svc_l2,acpi,partial correlation,0.62109375
392,aal_spm12,ridge,acpi,partial correlation,0.64453125
393,aal_spm12,svc_l1,acpi,tangent,0.5234375
394,aal_spm12,svc_l2,acpi,tangent,0.57421875
395,aal_spm12,ridge,acpi,tangent,0.58203125
396,aal_spm12,svc_l1,acpi,correlation,0.5
397,aal_spm12,svc_l2,acpi,correlation,0.46484375
398,aal_spm12,ridge,acpi,correlation,0.45703125
399,aal_spm12,svc_l1,acpi,partial correlation,0.4921875
400,aal_spm12,svc_l2,acpi,partial correlation,0.515625
401,aal_spm12,ridge,acpi,partial correlation,0.515625
402,aal_spm12,svc_l1,acpi,tangent,0.4609375
403,aal_spm12,svc_l2,acpi,tangent,0.55078125
404,aal_spm12,ridge,acpi,tangent,0.53515625
405,aal_spm12,svc_l1,acpi,correlation,0.53125
406,aal_spm12,svc_l2,acpi,correlation,0.5
407,aal_spm12,ridge,acpi,correlation,0.52734375
408,aal_spm12,svc_l1,acpi,partial correlation,0.55078125
409,aal_spm12,svc_l2,acpi,partial correlation,0.609375
410,aal_spm12,ridge,acpi,partial correlation,0.60546875
411,aal_spm12,svc_l1,acpi,tangent,0.67578125
412,aal_spm12,svc_l2,acpi,tangent,0.609375
413,aal_spm12,ridge,acpi,tangent,0.609375
414,aal_spm12,svc_l1,acpi,correlation,0.41015625
415,aal_spm12,svc_l2,acpi,correlation,0.64453125
416,aal_spm12,ridge,acpi,correlation,0.6328125
417,aal_spm12,svc_l1,acpi,partial correlation,0.60546875
418,aal_spm12,svc_l2,acpi,partial correlation,0.578125
419,aal_spm12,ridge,acpi,partial correlation,0.58984375
420,aal_spm12,svc_l1,acpi,tangent,0.6015625
421,aal_spm12,svc_l2,acpi,tangent,0.5859375
422,aal_spm12,ridge,acpi,tangent,0.5859375
423,aal_spm12,svc_l1,acpi,correlation,0.3046875
424,aal_spm12,svc_l2,acpi,correlation,0.37890625
425,aal_spm12,ridge,acpi,correlation,0.3828125
426,aal_spm12,svc_l1,acpi,partial correlation,0.45703125
427,aal_spm12,svc_l2,acpi,partial correlation,0.5859375
428,aal_spm12,ridge,acpi,partial correlation,0.5859375
429,aal_spm12,svc_l1,acpi,tangent,0.50390625
430,aal_spm12,svc_l2,acpi,tangent,0.4375
431,aal_spm12,ridge,acpi,tangent,0.44140625
