,atlas,classifier,dataset,dimensionality,iter_shuffle_split,measure,n_regions,scores
131,basc_scale122,ridge,ABIDE,122,4,partial correlation,,[ 0.67557187]
132,basc_scale122,svc_l1,ABIDE,122,4,tangent,,[ 0.63767497]
133,basc_scale122,svc_l2,ABIDE,122,4,tangent,,[ 0.67608399]
134,basc_scale122,ridge,ABIDE,122,4,tangent,,[ 0.67685217]
135,ho_cort_symm_split,svc_l1,ABIDE,96,5,correlation,,[ 0.62393308]
136,ho_cort_symm_split,svc_l2,ABIDE,96,5,correlation,,[ 0.65807443]
137,ho_cort_symm_split,ridge,ABIDE,96,5,correlation,,[ 0.63852851]
138,ho_cort_symm_split,svc_l1,ABIDE,96,5,partial correlation,,[ 0.54592011]
139,ho_cort_symm_split,svc_l2,ABIDE,96,5,partial correlation,,[ 0.48694094]
140,ho_cort_symm_split,ridge,ABIDE,96,5,partial correlation,,[ 0.48822124]
141,ho_cort_symm_split,svc_l1,ABIDE,96,5,tangent,,[ 0.64757596]
142,ho_cort_symm_split,svc_l2,ABIDE,96,5,tangent,,[ 0.60046091]
143,ho_cort_symm_split,ridge,ABIDE,96,5,tangent,,[ 0.59790031]
144,aal_spm12,svc_l1,ABIDE,117,5,correlation,,[ 0.60430181]
145,aal_spm12,svc_l2,ABIDE,117,5,correlation,,[ 0.64125982]
146,aal_spm12,ridge,ABIDE,117,5,correlation,,[ 0.63852851]
147,aal_spm12,svc_l1,ABIDE,117,5,partial correlation,,[ 0.58663366]
148,aal_spm12,svc_l2,ABIDE,117,5,partial correlation,,[ 0.65209969]
149,aal_spm12,ridge,ABIDE,117,5,partial correlation,,[ 0.65261181]
150,aal_spm12,svc_l1,ABIDE,117,5,tangent,,[ 0.61497098]
151,aal_spm12,svc_l2,ABIDE,117,5,tangent,,[ 0.71031069]
152,aal_spm12,ridge,ABIDE,117,5,tangent,,[ 0.70928645]
153,basc_scale122,svc_l1,ABIDE,122,5,correlation,,[ 0.66481734]
154,basc_scale122,svc_l2,ABIDE,122,5,correlation,,[ 0.70083646]
155,basc_scale122,ridge,ABIDE,122,5,correlation,,[ 0.68854558]
156,basc_scale122,svc_l1,ABIDE,122,5,partial correlation,,[ 0.55914988]
157,basc_scale122,svc_l2,ABIDE,122,5,partial correlation,,[ 0.65303858]
158,basc_scale122,ridge,ABIDE,122,5,partial correlation,,[ 0.65423353]
159,basc_scale122,svc_l1,ABIDE,122,5,tangent,,[ 0.59866849]
160,basc_scale122,svc_l2,ABIDE,122,5,tangent,,[ 0.67668146]
161,basc_scale122,ridge,ABIDE,122,5,tangent,,[ 0.67616934]
162,ho_cort_symm_split,svc_l1,ABIDE,96,6,correlation,,[ 0.56888016]
163,ho_cort_symm_split,svc_l2,ABIDE,96,6,correlation,,[ 0.6039604]
164,ho_cort_symm_split,ridge,ABIDE,96,6,correlation,,[ 0.58782861]
165,ho_cort_symm_split,svc_l1,ABIDE,96,6,partial correlation,,[ 0.54540799]
166,ho_cort_symm_split,svc_l2,ABIDE,96,6,partial correlation,,[ 0.54993172]
167,ho_cort_symm_split,ridge,ABIDE,96,6,partial correlation,,[ 0.5519802]
168,ho_cort_symm_split,svc_l1,ABIDE,96,6,tangent,,[ 0.62546944]
169,ho_cort_symm_split,svc_l2,ABIDE,96,6,tangent,,[ 0.66421987]
170,ho_cort_symm_split,ridge,ABIDE,96,6,tangent,,[ 0.65781837]
171,aal_spm12,svc_l1,ABIDE,117,6,correlation,,[ 0.69375213]
172,aal_spm12,svc_l2,ABIDE,117,6,correlation,,[ 0.66131786]
173,aal_spm12,ridge,ABIDE,117,6,correlation,,[ 0.65056333]
174,aal_spm12,svc_l1,ABIDE,117,6,partial correlation,,[ 0.59636395]
175,aal_spm12,svc_l2,ABIDE,117,6,partial correlation,,[ 0.63758962]
176,aal_spm12,ridge,ABIDE,117,6,partial correlation,,[ 0.63767497]
177,aal_spm12,svc_l1,ABIDE,117,6,tangent,,[ 0.64723455]
178,aal_spm12,svc_l2,ABIDE,117,6,tangent,,[ 0.72319904]
179,aal_spm12,ridge,ABIDE,117,6,tangent,,[ 0.72422328]
180,basc_scale122,svc_l1,ABIDE,122,6,correlation,,[ 0.68385114]
181,basc_scale122,svc_l2,ABIDE,122,6,correlation,,[ 0.65064869]
182,basc_scale122,ridge,ABIDE,122,6,correlation,,[ 0.63724821]
183,basc_scale122,svc_l1,ABIDE,122,6,partial correlation,,[ 0.58031751]
184,basc_scale122,svc_l2,ABIDE,122,6,partial correlation,,[ 0.64646637]
185,basc_scale122,ridge,ABIDE,122,6,partial correlation,,[ 0.64800273]
186,basc_scale122,svc_l1,ABIDE,122,6,tangent,,[ 0.66387846]
187,basc_scale122,svc_l2,ABIDE,122,6,tangent,,[ 0.70672584]
188,basc_scale122,ridge,ABIDE,122,6,tangent,,[ 0.70604302]
189,ho_cort_symm_split,svc_l1,ABIDE,96,7,correlation,,[ 0.62410379]
190,ho_cort_symm_split,svc_l2,ABIDE,96,7,correlation,,[ 0.60933766]
